actual Rating,Predicted Rating
3.9,3.7789999999999986
3.2,3.4709999999999996
3.9,4.0089999999999995
3.9,3.775999999999996
2.9,3.443999999999998
3.0,3.097130434782606
3.0,3.3150000000000017
4.1,4.023000000000003
3.9,3.4300000000000024
2.7,3.6313333333333384
4.4,4.034266666666668
3.8,3.861893062493063
4.3,4.3120000000000065
3.8,3.682000000000004
3.4,3.2022114374290074
3.1,3.402716666666665
4.3,4.108000000000006
4.2,4.046999999999997
4.7,4.690999999999993
3.9,3.8899999999999952
3.3,3.5625000000000027
3.1,3.240066666666668
4.0,4.217999999999998
3.9,4.246999999999996
3.7,3.9689999999999985
3.7,3.6337083333333293
3.8,3.239533333333335
3.6,3.7407
3.3,3.556222222222218
3.8,3.5738863636363654
3.7,3.491525216329561
3.6,3.6348
3.5,3.5133433455433463
2.8,3.6140000000000008
3.6,3.679495238095239
4.2,4.126934523809525
4.2,4.081032756132754
3.3,3.2680000000000025
3.7,3.491525216329561
4.4,4.385999999999994
3.7,3.7799999999999985
4.3,4.196500000000006
4.1,3.976000000000001
3.3,3.4371089826839825
3.9,3.612777566877567
3.2,3.245267460317459
3.3,3.217823529411761
3.8,3.559938095238097
3.8,3.3523068181818187
4.3,4.265000000000006
2.8,3.7649999999999983
3.0,3.4371349206349224
3.7,3.2665523809523824
3.9,3.4527857142857123
4.5,4.516
4.3,4.208000000000005
4.2,4.623000000000002
3.8,3.4760000000000004
3.7,2.831688492063492
4.1,4.203999999999995
3.8,3.418000000000002
3.4,3.237059866346239
4.3,4.306000000000007
3.0,3.5204500000000007
3.4,3.4648333333333285
3.6,3.461753607177136
3.5,3.70865
4.0,3.9829999999999997
3.3,3.194924418392065
3.1,3.227600000000003
3.6,3.3224464285714284
3.9,3.9349999999999965
3.6,3.263199710917105
4.3,3.933666666666662
3.7,3.4234159590409594
3.8,3.7460000000000018
3.7,3.513221500721501
3.3,3.6182071428571385
4.0,3.7055999999999956
4.2,4.012999999999998
3.8,3.6887500000000015
3.6,3.461166666666667
4.7,4.683999999999994
3.2,3.206999999999995
4.0,3.9674003968253966
3.9,4.059999999999995
3.8,3.869000000000005
4.0,4.187000000000005
4.2,3.877314285714286
4.0,3.5439999999999983
4.3,3.707999999999995
4.3,4.113000000000001
3.3,3.2106166666666693
3.3,3.272321428571426
3.4,3.282000000000003
3.8,3.6024999999999996
3.3,3.389448809523811
3.6,3.3030000000000026
4.1,3.8609999999999958
3.7,3.6288422077922076
4.0,3.9619999999999993
3.6,3.6740000000000013
3.2,3.206999999999995
3.6,3.422023809523809
3.1,3.2986666666666657
3.4,3.7205226190476153
4.2,4.384999999999996
3.4,3.79293333333333
3.8,3.790285714285717
3.6,3.423000000000002
4.0,3.244833333333332
3.7,3.7285999999999957
3.2,3.206999999999995
4.0,3.964999999999997
3.5,3.5133433455433463
3.8,3.2950000000000004
3.0,3.211500000000001
3.8,3.6773333333333293
3.6,3.7323666666666653
3.7,3.5576579365079346
3.1,3.456000000000003
3.8,3.8509999999999978
4.1,3.720959890109885
3.5,3.3568714285714276
3.9,3.9413333333333282
3.1,3.6030000000000024
4.2,4.199999999999992
3.3,3.206999999999995
4.3,4.267000000000006
3.6,3.2845833333333325
4.5,4.400999999999999
3.4,3.7049666666666656
4.4,4.109
3.5,3.732085714285713
3.3,3.282000000000003
3.8,3.682750000000002
3.7,3.7219999999999978
4.0,4.325999999999995
3.5,3.820000000000002
4.0,3.702999999999999
4.2,4.260999999999994
4.0,3.520999999999995
4.0,3.8472730158730144
4.2,3.9979999999999922
4.0,3.240869047619049
4.0,4.108000000000002
3.9,3.148678571428574
4.0,4.097466666666664
4.6,4.602000000000007
4.1,3.7205134920634917
3.3,3.3620000000000014
4.1,3.8613333333333384
3.7,4.028000000000002
3.4,3.4324503422231345
3.5,3.4059999999999993
4.1,3.5764
4.1,3.9489999999999963
2.8,3.596999999999996
3.4,3.2244878048780454
3.8,4.002999999999997
3.5,3.5657500000000004
4.3,4.264000000000003
3.6,3.699666666666668
4.0,3.830400000000002
3.1,3.256111111111113
3.3,3.2840000000000042
4.1,4.1250000000000036
4.0,3.8260000000000036
3.2,3.5716904761904775
3.3,3.282000000000003
3.2,3.575749999999999
3.6,3.356149999999999
3.5,3.576000000000003
3.3,3.261395238095239
3.8,3.8020000000000063
3.8,3.660428571428568
3.9,3.743999999999996
3.5,3.472142857142858
3.3,3.918999999999999
3.8,3.8530000000000024
3.5,3.259000000000002
3.5,3.423000000000002
3.7,3.6448499999999977
3.8,3.868247619047622
3.7,3.756040476190478
4.0,3.7841388888888887
4.2,4.192999999999993
3.2,3.612666666666665
2.8,3.2400000000000015
3.7,3.864999999999997
4.1,3.998588888888893
